team,season,xgf60,xga60,ev_xgf60,ev_xga60,pp_xgf60,pp_xga60,pk_xgf60,pk_xga60,hdf,hda,hdf_percent,xgoals_percentage,corsi_percentage,fenwick_percentage,penalties_drawn_per60,penalties_taken_per60,penalty_diff,gsa_per60,save_percent,hd_save_percent
LAK,2019,2.8009276364922764,2.7666836995401125,2.4496818557936484,2.298342226153451,5.438231469440832,1.0006501950585176,0.957155284906481,5.801652892561983,69.86,68.07,0.50648879866599,0.5,0.53,0.53,2.9574309185959673,3.0140324672772296,-0.056601548681262326,-0.19074721905585457,0.8994225216554379,0.6521739130434783
OTT,2019,2.9738370075643665,3.053366952740059,2.479969470018604,2.54900539044984,5.565139263252471,0.9991015274034142,1.5281462544016209,6.98779605421832,75.62,72.43,0.510773387369132,0.49,0.48,0.48,3.5254111823081726,3.3866154664692685,0.13879571583890415,-0.24997108422586678,0.9001677852348994,0.6476190476190475
PIT,2019,2.8218547704486117,2.5159928946960575,2.2546370105377767,2.1338997550258583,6.337278106508876,0.9383799224648031,1.231701161029783,5.223624432104997,70.0,62.88,0.526791089704997,0.53,0.51,0.52,3.2331517268511343,3.4191294810505357,-0.18597775419940143,-0.2879793993872271,0.9044834307992202,0.7005347593582888
FLA,2019,2.8668049842102956,2.9406362872491667,2.394605780369714,2.536827826569106,6.85679025042423,1.1144135342212167,1.3292244478685156,7.383667180277349,67.0,67.55,0.4979561501300631,0.49,0.5,0.5,3.0679415243336665,3.3976735573227987,-0.32973203298913223,-0.27066699055803556,0.8993258426966292,0.6950000000000001
BOS,2019,2.9213395242584386,2.718415915945283,2.2459877415394214,2.0742718493904877,7.919331998632746,1.4748767029640122,1.1185008981018496,6.468080974804602,70.07,66.65,0.5125073142188414,0.52,0.51,0.51,3.689520151148281,3.8725879449075467,-0.18306779375926574,0.36669887303779086,0.9206273764258555,0.7055555555555555
SJS,2019,2.7946221531072224,2.9091395838664593,2.3880579488910745,2.484580721865872,6.4815173435097115,1.1933701657458564,0.7571454251303253,5.421355383785727,68.22,68.92,0.49744786349715625,0.49,0.5,0.5,3.614102084604634,3.14639475600874,0.4677073285958939,-0.2797740201964529,0.8948598130841121,0.6439024390243903
DAL,2019,2.819954237772905,2.6090189722566497,2.3665466028519266,2.105787733754379,6.660573857598299,0.5719447396386822,0.6204763073901302,6.058040756199363,70.18,57.42,0.55,0.52,0.49,0.49,3.417866336161693,3.2033558966536373,0.21451043950805593,0.12069787396319952,0.9199632014719411,0.6604938271604939
CGY,2019,2.876997622180488,2.775934436214699,2.4443199931073107,2.376771636582949,6.603314917127072,0.9487292817679558,0.997427652733119,5.932475884244373,68.19,64.15,0.5152637146743236,0.51,0.5,0.49,3.3594021482369385,3.2469535407645727,0.11244860747236585,-0.23206581367109552,0.905726872246696,0.6276595744680851
ARI,2019,2.768656570438212,2.7764028371679963,2.4396518814541346,2.4627889108489858,5.166119125839166,1.1192686759034423,1.3142795513373597,5.016393442622951,66.99,55.86,0.5452991452991452,0.5,0.49,0.48,2.9717495999718317,3.267516147836327,-0.2957665478644951,0.19900863434882451,0.9189907038512616,0.6335403726708074
PHI,2019,2.8987294617451473,2.697852845831319,2.494526176798084,2.4262388774474544,5.965271466156422,1.2881128916527147,1.39095539435098,4.808149405772496,66.86,64.2,0.5101480238058904,0.52,0.52,0.52,3.309898784943765,3.424033225803895,-0.1141344408601297,0.0014266805107515418,0.9040609137055837,0.7120418848167539
