team,season,xgf60,xga60,ev_xgf60,ev_xga60,pp_xgf60,pp_xga60,pk_xgf60,pk_xga60,hdf,hda,hdf_percent,xgoals_percentage,corsi_percentage,fenwick_percentage,penalties_drawn_per60,penalties_taken_per60,penalty_diff,gsa_per60,save_percent,hd_save_percent,nhl_tricode,wins,losses,ot,points
MIN,2015,2.658632118107864,2.43362458571859,2.152902023986438,2.1055821838960167,6.726262382217927,0.566803575742933,0.6149386614213986,5.853097986438222,76.99,56.74,0.5757122560382861,0.52,0.49,0.49,2.9165411268454355,3.6155468514612834,-0.6990057246158479,-0.0249472732750827,0.9130805283340436,0.6190476190476191,MIN,46.0,28.0,8.0,100.0
PHI,2015,2.884261275789264,2.832312014762847,2.2653531185458804,2.319857166485015,6.750420387877882,0.8232876200440941,0.74206672091131,6.4888992212019065,92.27,83.58,0.5247085584304805,0.5,0.51,0.51,4.141577031138302,4.30915529251384,-0.1675782613755387,0.3186380941297734,0.9166335847558555,0.6610169491525424,PHI,33.0,31.0,18.0,84.0
TOR,2015,3.056359075625767,2.9063750867267975,2.4840782063990887,2.490759918165904,6.72876932342903,0.543505320216824,0.8813737252549491,5.663467306538692,87.05,76.88,0.531019337522113,0.51,0.52,0.51,3.8906975503015424,3.866680898756471,0.0240166515450712,0.0243769013182473,0.9041150619256892,0.6403940886699507,TOR,30.0,44.0,8.0,68.0
NYI,2015,2.660472922348428,2.711181706476459,2.189354258012345,2.3211602306482613,6.475690607734807,0.5917127071823205,1.1409854216645137,5.180107030817494,73.0,67.29,0.5203507021170432,0.5,0.49,0.5,3.488476638595019,3.4645008541373215,0.0239757844576975,0.1817364461893487,0.9154647435897436,0.586021505376344,NYI,47.0,28.0,7.0,101.0
EDM,2015,2.6564741462370196,2.8649502194625844,2.305560557270097,2.3797292374176635,6.477114532798987,0.8838641636785488,0.6207388615823687,6.354368162359283,70.54,79.73,0.4694217075929993,0.48,0.49,0.48,3.709452949363023,3.540841451664704,0.1686114976983188,-0.049619955036934,0.9050608081600628,0.6545454545454545,EDM,24.0,44.0,14.0,62.0
WPG,2015,2.7472836199179973,2.9152851486675404,2.340143233433049,2.291888119625023,5.52378709373528,0.7390485162505888,0.9728256755733858,7.422905154795246,69.99,93.58,0.4278901999144097,0.49,0.51,0.5,4.344867122833015,4.019002088620538,0.3258650342124767,0.0669833681436757,0.902600082542303,0.6098484848484849,WPG,43.0,26.0,13.0,99.0
ANA,2015,2.7737005311062144,2.284613993610652,2.1647669620510044,1.9381384022187649,7.319423832387604,0.461981667394151,0.7807959570435882,4.878079595704359,79.28,57.18,0.5809761102154477,0.55,0.52,0.53,4.520765382322803,4.062661156914092,0.4581042254087109,0.0182036152728197,0.9167773351040284,0.6727272727272727,ANA,51.0,24.0,7.0,109.0
OTT,2015,2.6999850107423016,2.938613993304798,2.1861149455690656,2.4040866596682067,5.602465331278891,0.559322033898305,0.8921516284036305,6.864922584089696,77.51,79.23,0.4945132065841521,0.48,0.48,0.47,3.945172626284496,3.753310127741785,0.1918624985427111,0.0486851090052129,0.910342261904762,0.5638766519823788,OTT,43.0,26.0,13.0,99.0
CGY,2015,2.606803778909023,2.700183985549258,2.1956997372015494,2.2382955050255533,5.030338802974855,0.6785503482469603,1.033243138770777,7.147468109779668,70.31,74.83,0.4844288273391209,0.49,0.49,0.49,3.3901599568354484,3.800357246986357,-0.4101972901509088,-0.400424942944372,0.8918805216659655,0.5841121495327103,CGY,45.0,30.0,7.0,97.0
DAL,2015,3.115691168182916,2.748691731744626,2.531004037910329,2.3103207314266587,6.938220070128569,1.094005677074637,0.9444687363358112,6.479055531263664,97.06,74.1,0.5670717457349849,0.53,0.52,0.52,3.6470493519040335,3.7195072860478224,-0.0724579341437889,-0.0047097657193461,0.9038785834738616,0.6355140186915889,DAL,41.0,31.0,10.0,92.0
MTL,2015,2.6806867988258474,2.6166311472113875,2.2241683616009142,2.1421727656284144,5.982669251770664,0.8176314644086574,0.9115483319076132,6.397775876817793,77.62,74.06,0.5117352320675106,0.51,0.51,0.51,3.7154690578632033,3.8722908038119743,-0.1568217459487715,-0.1940970686396719,0.9032392026578072,0.5909090909090908,MTL,50.0,22.0,10.0,110.0
ARI,2015,2.4346393250227827,2.752179922185269,1.9796017907223855,2.271830961381016,6.234140054417872,0.8661033939567521,0.6187212276214834,5.947826086956522,70.11,74.15,0.4859975045057535,0.47,0.48,0.47,4.515541088128377,4.346056972220074,0.1694841159083031,-0.2016860979308813,0.903974813065722,0.5961538461538461,ARI,24.0,50.0,8.0,56.0
STL,2015,2.582782780116149,2.681083169055358,2.2530330157378775,2.105945837663232,4.938218196566176,1.067459780992294,0.6524201464924866,5.833723476553651,64.87,77.88,0.454430823117338,0.49,0.5,0.5,4.147796899142203,3.716234215994459,0.4315626831477441,0.3194762640524269,0.9192953707496928,0.7130044843049328,STL,51.0,24.0,7.0,109.0
NYR,2016,2.794561305929892,2.6582588941679455,2.2974582473883824,2.360636103533169,6.548823055580417,0.7346281213640025,1.2103661529400216,6.544812015313635,80.2,66.39,0.5471041680878641,0.51,0.49,0.5,3.1602860072238936,3.317094091551797,-0.1568080843279031,0.0528322622581703,0.9123732251521298,0.6276595744680851,NYR,46.0,27.0,9.0,101.0
CGY,2016,2.636223511908751,2.7983487246846894,2.205564431149937,2.3513375709575444,6.768456103305449,0.6549175667993179,0.9101860732783426,6.7469787070784575,74.13,83.31,0.4708460365853658,0.49,0.5,0.5,4.342639627926926,4.016941655832406,0.3256979720945194,0.1565762843624762,0.9070458404074704,0.6742081447963801,CGY,35.0,40.0,7.0,77.0
LAK,2016,2.7760261659340695,2.5260705234860685,2.4470147127443007,2.0649706199338485,6.346751294471354,0.6779689326874896,0.8428290766208252,5.525540275049116,68.97,67.37,0.5058676837318469,0.52,0.55,0.55,3.4950403235255716,3.4829884603410006,0.0120518631845709,0.1036460233873099,0.905188679245283,0.6042780748663101,LAK,48.0,28.0,6.0,102.0
ANA,2016,2.7245763704578847,2.5175794127589217,2.2870720745479223,2.0875278518850493,6.624208154415204,0.7821096041834956,0.8984531652821541,5.908908622171298,75.95,56.1,0.575160923892465,0.52,0.5,0.5,4.397781697329536,3.927881735149119,0.4698999621804161,0.1439821678988709,0.9189300411522634,0.6402439024390244,ANA,46.0,25.0,11.0,103.0
WPG,2016,2.877196280506227,2.8310315888415185,2.3058358799170966,2.2573144525869195,6.720450281425891,0.7899502406395301,1.0025353725361903,7.1870450642021755,76.36,82.01,0.4821620256361684,0.5,0.49,0.49,4.096814260297426,3.927624290845614,0.1691899694518115,-0.2506428547450402,0.8999215070643642,0.599078341013825,WPG,35.0,39.0,8.0,78.0
NJD,2016,2.4834389285427863,2.916152057101612,2.130559327085472,2.269596317514985,5.76597004822743,1.1894407310263135,0.4469696969696969,7.781818181818182,60.15,77.64,0.4365338558676246,0.46,0.47,0.47,3.885636378217981,3.801427540299944,0.084208837918037,0.0169620659234902,0.906335017489312,0.596244131455399,NJD,38.0,36.0,8.0,84.0
BOS,2016,3.073779490812397,2.3787917957877704,2.4965958438367193,2.1396996208189463,8.347687822976017,0.7473168146283291,0.8120090223224703,4.786653185035389,86.78,62.06,0.583042192958882,0.56,0.54,0.55,4.061145487448254,3.867757607093575,0.1933878803546789,-0.1473373913452208,0.9048702776513428,0.6507936507936508,BOS,42.0,31.0,9.0,93.0
STL,2016,2.5199359471463243,2.487184393663199,2.085186034392913,2.024854611776967,5.703872046653231,0.6452553492560352,0.6772205438066465,5.0552265861027195,69.09,67.22,0.5068593646834422,0.5,0.49,0.5,3.637718671003998,3.371838901030284,0.2658797699737141,-0.1232715297150855,0.9071766222604212,0.5869565217391304,STL,49.0,24.0,9.0,107.0
DET,2016,2.4598656987054737,2.7227694494443964,2.1042228652704886,2.261807837559468,4.855080325474651,0.727060296265387,0.6833280607402721,6.68848013738871,60.27,70.06,0.4624414946673827,0.47,0.49,0.48,3.5269034319227934,3.730148714440378,-0.2032452825175847,-0.1943981349256426,0.902788844621514,0.6285714285714286,DET,41.0,30.0,11.0,93.0
PIT,2016,3.1173385884632085,2.9219412806038947,2.6979344567352426,2.479098521658224,6.600545950864422,1.3579286955083134,0.8052550231839258,6.367851622874807,81.69,82.37,0.4979275874679995,0.52,0.5,0.51,3.667457162897892,3.655432713183473,0.0120244497144192,0.1683422960018704,0.9142643204792212,0.680161943319838,PIT,48.0,26.0,8.0,104.0
DAL,2016,2.913318571135759,3.1564580134203832,2.4548595773490813,2.5131175355958932,7.066638602399495,1.235108398231951,1.0178201409034398,8.77414007459594,82.29,103.91,0.4419441460794845,0.48,0.5,0.51,3.701525837765913,3.786201265427224,-0.0846754276613115,0.0113707002859475,0.8935298935298935,0.6858108108108107,DAL,50.0,23.0,9.0,109.0
TBL,2016,2.8923845927668332,2.7114752345566813,2.4262102722274372,2.318794421349068,6.766024222427876,0.6214139138132218,0.8371759074591145,5.5859593139210215,74.23,66.94,0.5258199334136148,0.52,0.51,0.51,4.125791879393761,4.14984897490043,-0.0240570955066692,0.0170805378097349,0.9101123595505618,0.6382978723404256,TBL,46.0,31.0,5.0,97.0
WSH,2016,2.7979449644591456,2.7828639795702923,2.376169562726752,2.316287951117052,7.521731541281201,0.8907313667306686,0.8898419864559819,5.968848758465011,70.45,82.89,0.4594365462371201,0.5,0.52,0.52,3.957250434835064,3.631501161235836,0.3257492735992278,0.6473965193086877,0.9224364592462752,0.6861924686192469,WSH,56.0,18.0,8.0,120.0
COL,2016,2.3273121217116883,2.8497007337825973,1.9705585700606447,2.3525055857006065,4.91714198632821,0.5972046849828014,0.6606845588533842,7.483860489666653,59.14,84.26,0.4124128312412831,0.45,0.49,0.48,3.827377728133716,3.4761310378935963,0.3512466902401194,-0.4931988009164712,0.8939684978870535,0.62882096069869,COL,39.0,39.0,4.0,82.0
MTL,2016,2.6697856584303006,2.589663215725065,2.3735265385867796,2.1418593292087267,5.040629457507017,0.6758385864813877,0.6774913562956804,6.00446409033218,71.21,67.46,0.5135213095839042,0.51,0.51,0.51,3.6091190407763616,3.3564807079220165,0.2526383328543451,0.2076446488126665,0.9184849732400164,0.7282051282051283,MTL,38.0,38.0,6.0,82.0
MIN,2016,2.85337350650745,2.3709464741664794,2.4424214136412523,1.9789516407248815,5.822283405124561,0.5419423597850704,0.7598944591029023,6.695673818887838,81.11,55.59,0.5933430870519386,0.55,0.5,0.5,3.200880409873743,3.345825937868026,-0.1449455279942828,-0.1172850897353738,0.9164300202839756,0.6728395061728395,MIN,38.0,33.0,11.0,87.0
CAR,2016,2.996234778893399,2.648232215338602,2.5271929364172583,2.389554811803321,7.322950819672132,0.6868852459016395,1.5048533555996242,4.486379292349442,91.66,67.3,0.5766230498238551,0.53,0.52,0.52,2.5475325785088656,3.0402157658619955,-0.4926831873531299,-0.1156002990813929,0.9008620689655172,0.6649746192893401,CAR,35.0,31.0,16.0,86.0
NSH,2016,2.7409316552173695,2.626124454695883,2.276621848110426,2.1629853899547102,5.7656657693104165,0.7067301718782356,0.7261830217371857,6.542087843277574,79.73,73.46,0.5204647822964946,0.51,0.51,0.51,3.754700897558041,3.9231810660382087,-0.1684801684801682,-0.0214210499924785,0.9110392236150424,0.6019900497512438,NSH,41.0,27.0,14.0,96.0
CHI,2016,2.712418716260764,2.7689249294676355,2.3010821675837003,2.355901163380911,5.091428571428572,0.7200000000000001,0.423042304230423,6.646264626462647,77.44,80.15,0.4914017386890031,0.49,0.5,0.49,2.891575942355898,3.1686853034983384,-0.2771093611424402,0.2146995137199253,0.9176699029126214,0.6666666666666667,CHI,47.0,26.0,9.0,103.0
NYI,2016,2.7604053334761662,2.8418737467234876,2.32762279553456,2.4467554008895105,6.37403109879269,0.9690421383943252,0.8893817085070522,6.822851060054998,83.13,71.42,0.5378841798770624,0.49,0.48,0.48,3.314173615830368,3.350328237093972,-0.0361546212636039,-0.0263928735224309,0.9090214067278288,0.6218905472636815,NYI,45.0,27.0,10.0,100.0
FLA,2016,2.70737503578014,2.839658374549836,2.2103620236781,2.45353839125966,7.090326409495549,1.016973293768546,0.8392993145468393,5.937547600913938,69.36,81.95,0.4583966690899478,0.49,0.52,0.51,3.9661037257943192,4.157818709518516,-0.1917149837241964,0.0717732970317462,0.9110169491525424,0.6578947368421053,FLA,47.0,26.0,9.0,103.0
CBJ,2016,2.8346675341487217,2.7427904527786815,2.425282775451845,2.35191933966334,6.949000487567041,0.7319356411506582,0.92169900936355,5.98127289998643,77.1,71.23,0.5197869615047529,0.51,0.5,0.5,3.549521934663845,3.4529363037886385,0.0965856308752064,0.4126621079143206,0.922458818802732,0.6995305164319249,CBJ,34.0,40.0,8.0,76.0
EDM,2016,3.015457565992687,2.8306880603743343,2.5080235418057844,2.4190325296657447,7.706456025771149,0.7704867393318918,0.7291226722979459,6.9456709541178725,88.68,77.26,0.534410027720863,0.52,0.5,0.51,3.462174210675705,3.570367154759321,-0.108192944083616,0.3422503464511712,0.9144274493592394,0.7013574660633484,EDM,31.0,43.0,8.0,70.0
SJS,2016,2.861055435235879,2.70378939722084,2.4903547759583784,2.2903106216181315,5.695379055158765,0.8348679115394544,0.6045411542100284,6.384295175023651,75.35,73.56,0.506010341817205,0.51,0.51,0.52,3.0024616957451675,3.474623010801867,-0.4721613150566996,0.2824493200069951,0.9118554429263992,0.6584158415841583,SJS,46.0,30.0,6.0,98.0
BUF,2016,2.607099511519906,2.948694544469743,2.1907774371650905,2.4038835267236403,6.955368575086885,0.7687945856959941,0.530214424951267,7.850292397660819,62.71,77.21,0.4481846769582619,0.47,0.47,0.47,3.3942846825882422,3.4905764466332987,-0.0962917640450564,0.1682698576687361,0.91796875,0.602803738317757,BUF,35.0,36.0,11.0,81.0
ARI,2016,2.430189839777768,3.247553878193664,2.0704390761343117,2.8249378070186517,5.739787353105763,0.7336317851147174,1.2364760432766615,8.051004636785162,61.12,88.72,0.4079017618793379,0.43,0.45,0.44,3.8389153158814895,3.4538203625642243,0.3850949533172652,0.1427258170732116,0.9077583124776546,0.6679841897233201,ARI,35.0,39.0,8.0,78.0
VAN,2016,2.3908184474500707,2.9361689309274936,2.0837839482384437,2.458073545220372,5.128694978701433,0.7837872724925777,0.5623174971031286,6.671054461181924,59.46,81.01,0.4232932298711468,0.45,0.48,0.47,3.036418953519896,3.120763924451005,-0.0843449709311086,0.0322920745850529,0.9075920245398772,0.6244343891402715,VAN,31.0,38.0,13.0,75.0
PHI,2016,2.9361982546877807,2.6760788385885736,2.280256152561941,2.3526167595538094,8.289289600497435,0.846416912793409,0.5427811928891842,5.169131084897823,82.29,71.48,0.535149899200104,0.52,0.52,0.53,3.7622062024482297,4.121652654911436,-0.3594464524632066,-0.0916588453781177,0.9010282776349614,0.6086956521739131,PHI,41.0,27.0,14.0,96.0
TOR,2016,3.2169107949556093,3.1307274433140453,2.674261179973515,2.6015677049490455,8.461882205737778,0.958798820269908,0.910497052798796,7.4630659253375695,83.65,89.53,0.4830234438156831,0.51,0.5,0.5,3.750237895699847,3.7382179024443993,0.0120199932554481,0.3180490215391598,0.9124579124579124,0.6788617886178862,TOR,29.0,42.0,11.0,69.0
OTT,2016,2.600546661460367,2.564743339440723,2.2081703552817387,2.2621561840016997,5.598674990444643,0.8653331634603134,0.8179729384733214,6.053612458514169,75.0,58.86,0.5602868668758404,0.5,0.49,0.49,4.024870092812303,4.072928243174241,-0.0480581503619381,0.0416904454389811,0.9148763680583704,0.6795580110497237,OTT,38.0,35.0,9.0,85.0
MIN,2017,2.871096888222377,2.5671763697713033,2.3694479794064858,2.0887494248490097,6.8,0.592,0.6323570321503795,5.236259587489568,82.35,63.93,0.5629614438063987,0.53,0.47,0.48,3.6513845000267793,3.3139628300573083,0.337421669969471,-0.1924508596218734,0.9108602569093032,0.5909090909090908,MIN,49.0,25.0,8.0,106.0
DAL,2017,2.816179447457616,2.599605852653134,2.3566560481261027,2.0749051311664743,6.744806987373852,0.6891433226229806,0.8704851141000454,6.392625056672208,78.02,74.61,0.5111708052152264,0.52,0.51,0.51,4.011068246378897,3.6135749967377446,0.397493249641152,-0.0744396449327976,0.9092766653044544,0.6464646464646464,DAL,34.0,37.0,11.0,79.0
NYI,2017,2.747966609589041,3.1071141909246576,2.319712120403918,2.6358216426698617,6.373176865046102,1.0984073763621125,0.8108906900720971,7.262549818637768,67.88,81.89,0.4532282833678307,0.47,0.47,0.47,3.166470462328767,3.262788955479452,-0.0963184931506848,-0.4205506207191782,0.8995887594242632,0.5458515283842795,NYI,41.0,29.0,12.0,94.0
NJD,2017,2.709950232138682,2.731954975116069,2.406027061807369,2.3692949687027576,5.59952776489438,0.827254711810094,1.285141862630024,5.6141174565912495,67.22,62.59,0.5178337570295046,0.5,0.49,0.49,3.475065967467183,3.5111393166104414,-0.0360733491432583,-0.1539129563445674,0.908256880733945,0.6557377049180328,NJD,28.0,40.0,14.0,70.0
NSH,2017,2.832414006611163,2.776209133791166,2.3754955076787843,2.317987034391825,5.587838948233361,0.819391947411668,0.8320948842526437,5.849099742783652,76.4,72.92,0.5116528261451916,0.51,0.51,0.51,4.134473586972081,3.978681828622408,0.1557917583496726,0.3314769258424572,0.9233082706766916,0.6780487804878048,NSH,41.0,29.0,12.0,94.0
TBL,2017,3.095670334966664,2.8408305888023135,2.611620021256136,2.3658079862341213,7.6092619392185235,0.6193921852387844,0.7325277189485486,7.237074872305968,77.25,77.03,0.5007129893699767,0.52,0.51,0.51,3.9400755080729377,4.012370471523817,-0.0722949634508793,0.0213270142180096,0.9127841967946329,0.6308411214953271,TBL,42.0,30.0,10.0,94.0
FLA,2017,2.9833887488604063,3.0140371105271626,2.4292642161641997,2.5603909999113665,7.402846795249726,0.7640865830034532,1.1798492510256655,7.075660719397004,78.13,78.98,0.4972948889313219,0.5,0.5,0.5,3.873277202767201,4.0301388963372125,-0.1568616935700113,0.0819300691800288,0.9144064811553364,0.6547085201793722,FLA,35.0,36.0,11.0,81.0
TOR,2017,3.240643533755451,2.970118783099721,2.6552815497644597,2.5829353424077977,9.460477532255672,0.8435414503930001,0.5823741167059242,6.206124172259011,82.87,71.9,0.5354396846934161,0.52,0.5,0.49,3.055281754849057,3.079339091501412,-0.0240573366523548,0.2035250680789213,0.9171469740634006,0.625615763546798,TOR,40.0,27.0,15.0,95.0
BOS,2017,3.0322938897846403,2.589612700791458,2.548398311398063,2.15147752669481,7.056784417299439,1.1632551997358864,0.7473626233953311,6.093293225437445,83.76,65.86,0.5598182061221761,0.54,0.53,0.53,3.6127409330237974,3.7090806912377654,-0.096339758213968,0.0486515778980537,0.9120833333333334,0.6263736263736264,BOS,44.0,31.0,7.0,95.0
NYR,2017,2.71147705592931,3.0025906215483484,2.3168916423911705,2.585565995158577,5.633093525179856,0.6616950342165293,0.7898668956633749,6.577071704594246,70.21,81.08,0.4640756163659197,0.47,0.47,0.47,3.3979315192288384,3.2894868962747266,0.1084446229541118,-0.1664022492218094,0.9092790617454296,0.6583333333333333,NYR,48.0,28.0,6.0,102.0
MTL,2017,2.917775896057647,2.910185051927666,2.4377182481328523,2.3400425001346252,6.6603146853146855,0.988111888111888,0.8760900425877104,7.137213546947881,86.21,78.11,0.5246470301850048,0.5,0.5,0.5,3.699030393498917,3.4219043379599103,0.2771260555390067,-0.1984463536838018,0.9026415094339624,0.6289592760180995,MTL,47.0,26.0,9.0,103.0
OTT,2017,2.501671659355943,3.020420990692201,2.147540512702666,2.5437504360065493,4.860030065141139,0.8899281777183898,0.7576220883172947,7.40300386725425,62.89,87.51,0.4181515957446808,0.45,0.48,0.48,3.2256338932277737,3.430244998395207,-0.2046111051674333,-0.3977880603402162,0.8952802359882006,0.6255144032921811,OTT,44.0,28.0,10.0,98.0
CGY,2017,3.1552714371778565,2.8898319833991564,2.678235743744383,2.353775209360537,7.511589735377718,0.8301373153448897,0.9357103415634612,6.845310404669875,88.92,80.46,0.5249734325185973,0.52,0.53,0.53,4.108708748912243,4.108708748912243,0.0,-0.0380748376732043,0.9048551292090838,0.651063829787234,CGY,45.0,33.0,4.0,94.0
STL,2017,2.6296708901535486,2.5745865993772146,2.236382815893437,2.0722692204273274,5.33099209833187,0.7615702997616958,0.708060801473975,5.878397052049747,70.26,74.01,0.4870035350384695,0.51,0.52,0.53,3.1649307419735853,3.370288843552024,-0.2053581015784389,-0.1071486094706325,0.9089417555373256,0.6536585365853659,STL,46.0,29.0,7.0,99.0
WPG,2017,2.886806654378435,2.6199357042260587,2.411040781719582,2.148117056463122,6.566647896388062,0.7196524816989783,0.6456461109389526,6.753486210102262,82.67,66.8,0.5530875761022279,0.52,0.5,0.5,3.5887880480779843,3.576745135164971,0.0120429129130132,0.0186665150151708,0.9173363949483352,0.6783919597989949,WPG,40.0,35.0,7.0,87.0
BUF,2017,2.507220833528793,3.0292921237627413,2.0041434740284054,2.3712153358460424,6.143928389148443,0.7660476620470339,1.060011217049916,7.0145821648906335,62.84,89.67,0.4120385548488624,0.45,0.49,0.49,3.2207263052787476,3.449916566703078,-0.2291902614243302,-0.3241232802353556,0.8963846440551622,0.5895196506550218,BUF,33.0,37.0,12.0,78.0
PIT,2017,3.0553830974666,2.8652220458488684,2.646067133849576,2.451589704136074,6.65532409328575,1.2354552244999586,0.4980091129263987,6.146053117688108,77.48,76.55,0.5030188924235539,0.52,0.52,0.52,3.817718698297531,3.7210675920115177,0.0966511062860133,-0.1309622490175482,0.9028593811202508,0.6118721461187215,PIT,50.0,21.0,11.0,111.0
ANA,2017,2.795304842089832,2.8784263291341676,2.2692234385488055,2.3895983359989392,6.71915761514016,0.9049945453683064,1.051792828685259,5.743691899070385,80.21,73.61,0.5214536471200104,0.49,0.48,0.48,3.958166049730292,3.238499495233875,0.7196665544964169,0.3715878309716496,0.9230769230769232,0.6711711711711712,ANA,46.0,23.0,13.0,105.0
COL,2017,2.605828751456852,2.836170905952017,2.095272010318457,2.406545445070288,5.983900397123538,0.803692175593002,0.6609735269000854,6.158372797143079,73.71,70.87,0.5098215520818924,0.48,0.47,0.47,3.663709858899476,3.9297217958492734,-0.2660119369497971,-0.0174116904185321,0.9136163982430454,0.6763285024154589,COL,22.0,56.0,4.0,48.0
PHI,2017,3.018221479532105,2.811931516855619,2.379754124319811,2.3430331796438955,7.132240791822165,0.9243874736329708,0.8070193234264847,6.441547902824974,90.21,74.92,0.5462968570217405,0.52,0.51,0.51,3.2540500515324653,3.758367771696169,-0.5043177201637032,-0.0218537678737603,0.90359477124183,0.6121495327102804,PHI,39.0,33.0,10.0,88.0
VAN,2017,2.556493587015172,2.8572788299444665,2.0934693708951215,2.4241893510677848,7.338237932890723,1.1546743226269514,0.9820520965692504,6.000952986022872,68.71,71.19,0.4911365260900643,0.47,0.48,0.48,3.498905754091273,3.221406332215069,0.2774994218762043,-0.2676059642267051,0.9020423600605144,0.635,VAN,30.0,43.0,9.0,69.0
EDM,2017,3.015271879646871,3.016598121826731,2.6479109601474855,2.5228711237691064,5.543913565426171,0.8315006002400961,1.2273796046329355,7.621353304885483,74.16,86.64,0.4611940298507462,0.5,0.51,0.51,3.460286414725307,3.0262435194984394,0.4340428952268675,-0.1422696156576957,0.9006069802731411,0.6569037656903766,EDM,47.0,26.0,9.0,103.0
CBJ,2017,2.892722019444426,2.844678139367289,2.6732910244786945,2.4807978241160473,4.6688653177645065,0.7990016935555754,1.0143073392255482,6.143854680404317,66.39,72.71,0.4772825305535586,0.5,0.51,0.52,2.83458892455109,3.1708960850910497,-0.3363071605399597,0.1301989150090416,0.911993769470405,0.6820276497695852,CBJ,50.0,24.0,8.0,108.0
DET,2017,2.6036497888178816,2.9034180402700724,2.288195165726346,2.4610923231601425,5.042833989349386,0.7868488075943505,1.0809909083326383,6.068562849278505,59.24,79.24,0.427787406123628,0.47,0.49,0.49,3.515354595342958,3.2625379977326765,0.2528165976102814,-0.1544589022542814,0.902793723689246,0.6533333333333333,DET,33.0,36.0,13.0,79.0
LAK,2017,2.6684283941408067,2.844966867258295,2.211482630893983,2.3969366302933226,6.496738031792704,0.8418634567674355,0.8710140306122449,6.355389030612245,63.03,81.11,0.4372831968919107,0.48,0.5,0.5,3.7330782173548,3.347728207821401,0.3853500095333988,0.4124449320787157,0.920378399684667,0.7184873949579832,LAK,39.0,35.0,8.0,86.0
WSH,2017,2.7434222427689896,3.0322606580772247,2.297913779542305,2.595453013221469,6.781950142000631,0.6832258937023847,0.8095740936290039,6.606124604012671,73.5,80.7,0.4766536964980545,0.47,0.48,0.47,3.823038732889791,3.485357078249683,0.3376816546401078,0.1619665936363089,0.9089169536930732,0.6491228070175439,WSH,55.0,19.0,8.0,118.0
ARI,2017,2.720208031204681,3.1268290243536527,2.23112958617834,2.495498055517216,7.065826518300041,0.9733208204853198,0.6188520676153185,7.830197688854932,74.7,90.58,0.4519603097773475,0.47,0.49,0.47,3.216482472370856,3.4685202780417064,-0.2520378056708505,0.1143771565734856,0.9050321604237608,0.6747967479674797,ARI,30.0,42.0,10.0,70.0
CAR,2017,3.09324662029928,2.5628518953421855,2.5306551620347144,2.2679963880806664,7.532302949865136,0.7937663227298026,0.7458424323870317,6.047371073408366,73.73,62.53,0.541097901071481,0.55,0.55,0.54,2.6134344985397284,3.0831300996597717,-0.4696956011200432,-0.4841477734621984,0.8931587837837838,0.550561797752809,CAR,36.0,31.0,15.0,87.0
SJS,2017,2.895664993999124,2.65315605954741,2.4619320557919853,2.328946397382598,6.118931934471342,1.0046007653609663,0.8138801261829653,5.834815027244049,78.59,64.7,0.5484681415311605,0.52,0.52,0.52,3.0208308956516214,3.430027112592479,-0.4091962169408574,-0.0667952648241694,0.909200482121334,0.6458333333333333,SJS,46.0,29.0,7.0,99.0
CHI,2017,2.9092080623401726,2.973360449429153,2.507283375882265,2.544826550533113,5.595485462291651,0.9754092234098214,0.8538451093106414,6.848685103879057,80.45,74.31,0.5198371672266736,0.49,0.52,0.51,3.2619857841854096,3.648591506755532,-0.3866057225701227,-0.0953224734711956,0.9058212829069336,0.7027027027027026,CHI,50.0,23.0,9.0,109.0
VGK,2017,2.974196114875594,2.736756245382612,2.4357317888171086,2.408108710180441,6.445766358688774,0.6758638147069991,0.9523386092833008,6.117375066690379,81.24,66.22,0.5509290655092907,0.52,0.52,0.52,3.1289592533286976,3.177097087995293,-0.0481378346665954,0.0290030453866236,0.910820451843044,0.6730769230769231,VGK,51.0,24.0,7.0,109.0
VGK,2018,3.3072174371830587,2.6892539931646566,2.946270823079939,2.4088789529442187,6.5851301780441975,0.8648116668157824,1.3782940830809567,5.793066039868011,93.46,75.61,0.552788785710061,0.55,0.55,0.54,,,,-0.0690793121641558,0.9049604001667362,0.6441441441441442,VGK,51.0,24.0,7.0,109.0
FLA,2018,2.7889876447721984,2.8545176927128826,2.249777293873107,2.479164604572899,6.6999800439034125,1.3391339054081022,1.0716119828815978,4.358345221112696,73.05,81.74,0.4719297112216551,0.49,0.51,0.51,,,,-0.4219847043213292,0.8913649025069638,0.6260504201680672,FLA,44.0,30.0,8.0,96.0
STL,2018,2.887140758685534,2.523839001000472,2.50646652817798,2.166320444950747,6.523839681534425,0.6921197864833077,0.7429019897511657,6.112737177415632,77.91,66.24,0.5404786680541104,0.53,0.52,0.52,,,,-0.1262401333070108,0.9053356282271944,0.625,STL,44.0,32.0,6.0,94.0
CBJ,2018,2.8732894803250284,2.7630625325953466,2.5807397631878,2.4365995820961177,4.774417859920399,0.8695731735212041,0.9654950016123832,5.380844888745566,77.89,75.05,0.5092846868052832,0.51,0.51,0.52,,,,-0.0350061405427228,0.9044665012406948,0.7380952380952381,CBJ,45.0,30.0,7.0,97.0
